feed_type,breast_used,breast_left_time,breast_right_time,bottle_ml,start_time_label,end_time_label
,,0,0,0,2018/06/23 13:28:13,
,,0,0,0,2018/06/23 09:51:43,
,,0,0,0,2018/06/23 07:07:01,
,,0,0,0,2018/06/23 03:12:00,
,,0,0,0,2018/06/22 22:51:42,
,,0,0,0,2018/06/22 21:58:46,
,,0,0,0,2018/06/22 21:42:41,
,,0,0,0,2018/06/22 17:25:05,
,,0,0,0,2018/06/22 15:18:44,
Bottle Formula,,0,0,30,2018/06/22 14:45:55,
,,0,0,0,2018/06/22 13:02:12,
Bottle Breast Milk,,0,0,60,2018/06/22 13:02:38,
Bottle Breast Milk,,0,0,120,2018/06/22 11:15:26,
,,0,0,0,2018/06/22 09:48:22,
Bottle Breast Milk,,0,0,90,2018/06/22 02:00:43,
Bottle Formula,,0,0,180,2018/06/22 07:00:25,
Bottle Formula,,0,0,120,2018/06/22 09:52:14,
,,0,0,0,2018/06/22 06:27:35,
,,0,0,0,2018/06/22 02:00:50,
,,0,0,0,2018/06/21 22:37:14,
,,0,0,0,2018/06/21 17:52:31,
,,0,0,0,2018/06/21 15:45:15,
,,0,0,0,2018/06/21 13:17:00,
,,0,0,0,2018/06/21 10:20:46,
,,0,0,0,2018/06/21 08:36:17,
,,0,0,0,2018/06/21 06:49:00,
,,0,0,0,2018/06/21 03:01:08,
,,0,0,0,2018/06/20 22:53:56,
,,0,0,0,2018/06/20 21:14:39,
,,0,0,0,2018/06/20 18:51:29,
,,0,0,0,2018/06/20 14:20:00,
,,0,0,0,2018/06/20 12:04:07,
,,0,0,0,2018/06/20 08:37:11,
,,0,0,0,2018/06/20 06:51:04,
,,0,0,0,2018/06/20 03:37:00,
,,0,0,0,2018/06/19 22:50:00,
,,0,0,0,2018/06/19 21:25:00,
,,0,0,0,2018/06/19 18:50:00,
,,0,0,0,2018/06/19 14:31:46,
,,0,0,0,2018/06/19 11:22:19,
,,0,0,0,2018/06/19 09:31:37,
,,0,0,0,2018/06/19 06:37:50,
,,0,0,0,2018/06/19 02:18:01,
,,0,0,0,2018/06/18 22:53:38,
,,0,0,0,2018/06/18 21:24:24,
,,0,0,0,2018/06/18 19:30:04,
,,0,0,0,2018/06/18 15:35:47,
,,0,0,0,2018/06/18 12:46:13,
,,0,0,0,2018/06/18 08:54:00,
,,0,0,0,2018/06/18 05:06:55,
,,0,0,0,2018/06/18 01:38:20,
,,0,0,0,2018/06/17 22:46:06,
,,0,0,0,2018/06/17 21:20:38,
,,0,0,0,2018/06/17 18:51:00,
,,0,0,0,2018/06/17 15:07:16,
,,0,0,0,2018/06/17 12:39:36,
,,0,0,0,2018/06/17 08:38:31,
,,0,0,0,2018/06/17 05:37:00,
,,0,0,0,2018/06/17 01:47:59,
,,0,0,0,2018/06/16 22:45:19,
,,0,0,0,2018/06/16 21:18:30,
,,0,0,0,2018/06/16 18:14:00,
,,0,0,0,2018/06/16 14:27:05,
,,0,0,0,2018/06/16 10:32:19,
,,0,0,0,2018/06/16 08:39:59,
,,0,0,0,2018/06/16 06:08:09,
,,0,0,0,2018/06/16 03:18:32,
,,0,0,0,2018/06/15 22:33:05,
,,0,0,0,2018/06/15 20:50:12,
,,0,0,0,2018/06/15 17:53:14,
,,0,0,0,2018/06/15 13:47:57,
,,0,0,0,2018/06/15 11:46:00,
,,0,0,0,2018/06/15 08:24:33,
,,0,0,0,2018/06/15 05:06:44,
,,0,0,0,2018/06/15 02:22:00,
,,0,0,0,2018/06/14 23:09:00,
,,0,0,0,2018/06/14 21:39:07,
,,0,0,0,2018/06/14 19:27:04,
,,0,0,0,2018/06/14 15:52:30,
,,0,0,0,2018/06/14 13:43:27,
,,0,0,0,2018/06/14 09:19:14,
,,0,0,0,2018/06/14 06:47:00,
,,0,0,0,2018/06/14 01:22:10,
,,0,0,0,2018/06/13 22:53:25,
,,0,0,0,2018/06/13 21:55:44,
,,0,0,0,2018/06/13 20:12:07,
,,0,0,0,2018/06/13 18:20:00,
,,0,0,0,2018/06/13 13:48:00,
,,0,0,0,2018/06/13 10:29:48,
,,0,0,0,2018/06/13 06:19:00,
,,0,0,0,2018/06/13 03:07:02,
,,0,0,0,2018/06/12 22:44:07,
,,0,0,0,2018/06/12 21:37:08,
,,0,0,0,2018/06/12 19:48:00,
,,0,0,0,2018/06/12 16:48:00,
,,0,0,0,2018/06/12 12:34:00,
,,0,0,0,2018/06/12 09:57:38,
,,0,0,0,2018/06/12 05:49:00,
,,0,0,0,2018/06/12 02:16:00,
,,0,0,0,2018/06/11 22:45:25,
,,0,0,0,2018/06/11 20:35:30,
,,0,0,0,2018/06/11 18:30:00,
,,0,0,0,2018/06/11 13:27:00,
,,0,0,0,2018/06/11 10:08:01,
,,0,0,0,2018/06/11 06:36:00,
,,0,0,0,2018/06/11 03:12:38,
,,0,0,0,2018/06/10 23:39:46,
,,0,0,0,2018/06/10 20:57:00,
,,0,0,0,2018/06/10 18:30:00,
,,0,0,0,2018/06/10 15:48:54,
,,0,0,0,2018/06/10 13:14:58,
,,0,0,0,2018/06/10 10:45:48,
,,0,0,0,2018/06/10 08:24:00,
,,0,0,0,2018/06/10 05:06:09,
,,0,0,0,2018/06/10 02:30:09,
,,0,0,0,2018/06/10 00:00:51,
,,0,0,0,2018/06/09 21:17:53,
,,0,0,0,2018/06/09 19:01:00,
,,0,0,0,2018/06/09 16:56:47,
,,0,0,0,2018/06/09 15:32:00,
,,0,0,0,2018/06/09 14:01:00,
,,0,0,0,2018/06/09 12:39:33,
,,0,0,0,2018/06/09 09:39:03,
,,0,0,0,2018/06/09 07:07:37,
,,0,0,0,2018/06/09 03:01:43,
Bottle Breast Milk,,0,0,105,2018/06/09 00:00:16,
,,0,0,0,2018/06/08 23:02:00,
,,0,0,0,2018/06/08 20:47:00,
,,0,0,0,2018/06/08 19:11:00,
,,0,0,0,2018/06/08 13:54:08,
,,0,0,0,2018/06/08 10:41:00,
Bottle Breast Milk,,0,0,30,2018/06/08 10:40:58,
,,0,0,0,2018/06/08 07:08:05,
,,0,0,0,2018/06/08 01:29:58,
Bottle Formula,,0,0,95,2018/06/08 01:25:46,
,,0,0,0,2018/06/07 22:40:00,
Bottle Breast Milk,,0,0,90,2018/06/07 21:41:52,
,,0,0,0,2018/06/07 21:07:39,
,,0,0,0,2018/06/07 19:11:00,
Bottle Breast Milk,,0,0,65,2018/06/07 16:30:25,
,,0,0,0,2018/06/07 16:04:33,
,,0,0,0,2018/06/07 13:49:10,
,,0,0,0,2018/06/07 08:51:04,
Bottle Breast Milk,,0,0,50,2018/06/07 07:50:52,
,,0,0,0,2018/06/07 07:15:00,
Bottle Formula,,0,0,120,2018/06/07 06:51:06,
Bottle Formula,,0,0,90,2018/06/07 02:50:43,
,,0,0,0,2018/06/07 03:12:12,
,,0,0,0,2018/06/06 22:42:00,
,,0,0,0,2018/06/06 21:18:33,
Bottle Formula,,0,0,120,2018/06/06 20:05:50,
Bottle Formula,,0,0,120,2018/06/06 18:52:54,
,,0,0,0,2018/06/06 18:52:44,
Bottle Formula,,0,0,90,2018/06/06 15:36:36,
,,0,0,0,2018/06/06 15:49:13,
Bottle Breast Milk,,0,0,130,2018/06/06 14:25:46,
,,0,0,0,2018/06/06 13:22:27,
Bottle Formula,,0,0,90,2018/06/06 09:30:50,
Bottle Breast Milk,,0,0,60,2018/06/06 08:45:27,
,,0,0,0,2018/06/06 10:36:47,
Bottle Breast Milk,,0,0,75,2018/06/06 06:15:14,
,,0,0,0,2018/06/06 06:14:52,
Bottle Breast Milk,,0,0,70,2018/06/06 06:15:46,
Bottle Formula,,0,0,70,2018/06/06 05:55:02,
Bottle Formula,,0,0,50,2018/06/06 02:20:24,
,,0,0,0,2018/06/06 02:20:00,
Bottle Breast Milk,,0,0,25,2018/06/05 23:06:10,
Bottle Breast Milk,,0,0,50,2018/06/05 22:59:53,
,,0,0,0,2018/06/05 22:41:00,
,,0,0,0,2018/06/05 21:08:50,
Bottle Breast Milk,,0,0,80,2018/06/05 18:30:59,
Bottle Formula,,0,0,90,2018/06/05 20:09:32,
Bottle Breast Milk,,0,0,105,2018/06/05 19:09:08,
,,0,0,0,2018/06/05 18:38:36,
Bottle Breast Milk,,0,0,50,2018/06/05 15:00:05,
Bottle Formula,,0,0,120,2018/06/05 13:49:21,
,,0,0,0,2018/06/05 13:38:50,
Bottle Formula,,0,0,65,2018/06/05 11:45:15,
Bottle Breast Milk,,0,0,140,2018/06/05 08:36:05,
Bottle Formula,,0,0,120,2018/06/05 10:45:53,
